position,company,City,State
Principal Data Scientist,Oracle,REDWOOD,"City,"
Scientist,Exponent,MENLO,"Park,"
Data Engineer,BNY Mellon,SAN,"Francisco,"
Lead Data Scientist,Kofi Solutions Group,SAN,"Francisco,"
Data Analyst,Yodlee,REDWOOD,"City,"
Data Analyst,Elsevier,BERKELEY,CA
Data Engineer,Siluria Technologies,SAN,"Francisco,"
Senior Data Scientist,"Zendrive, Inc.",SAN,"Francisco,"
Staff Data Scientist,Harnham,EMERYVILLE,CA
Data Engineer,Frontapp,SAN,"Francisco,"
Research Analyst,CBRE,SAN,"Francisco,"
Senior Data Scientist,Allstate,MENLO,"Park,"
Research Analyst,University of California San Francisco,SAN,"Francisco,"
Lead Data Scientist,Tesorio,SAN,Francisco
Data Engineer,Scoop Technologies,SAN,"Francisco,"
Senior Data Scientist,Zoosk,SAN,"Francisco,"
Senior Data Scientist,King.com,SAN,"Francisco,"
Sr. Data Scientist,Kinsa Inc.,SAN,"Francisco,"
Data Scientist,S.C. International,SAN,"Francisco,"
Data Analyst,Energy Solutions,OAKLAND,CA
Scientist,Siolta Therapeutics,SAN,"Francisco,"
Data Engineer,Automattic Inc.,SAN,"Francisco,"
Principal Data Scientist,Clarivate Analytics,SAN,"Francisco,"
Sr. Data Scientist,BOLD,SAN,"Francisco,"
Scientist,Charles River Laboratories,SAN,"Francisco,"
Data Engineer,Invitae,SAN,"Francisco,"
Senior Data Scientist,Tonal,SAN,"Francisco,"
Research Scientist,Oath Inc,SAN,"Francisco,"
Bioinformatics Scientist,Chan Zuckerberg Biohub,SAN,"Francisco,"
Machine Learning Engineer,Coffee Meets Bagel,SAN,"Francisco,"
Data Scientist,Jobspring Partners,SAN,"Francisco,"
Senior Data Scientist,GoPro,SAN,"Mateo,"
Senior Data Scientist,Color Genomics,BURLINGAME,CA
Data Engineer,Insikt,SAN,"Francisco,"
Sr. Data Scientist,Nielsen,SAN,"Francisco,"
Bioinformatics Scientist,GB HealthWatch,SAN,"Francisco,"
Machine Learning Engineer,Leap.ai,SAN,"Francisco,"
Data Engineer,University of San Francisco,SAN,"Francisco,"
Data Engineer,Noodle.ai,SAN,"Francisco,"
Senior Data Scientist,Juvo,SAN,"Francisco,"
Senior Data Scientist,Remind,SAN,"Francisco,"
Senior Data Scientist,Vungle,SAN,"Francisco,"
Senior Data Scientist,Sano,SAN,"Francisco,"
Senior Data Scientist,Quizlet,SAN,"Francisco,"
Data Analyst,Glu Mobile,SAN,"Francisco,"
Senior Data Scientist,Helix,SAN,"Francisco,"
Senior Data Scientist,Discord,SAN,"Francisco,"
Senior Data Scientist,Tapjoy,SAN,"Francisco,"
Senior Data Scientist,Recurly,SAN,"Francisco,"
Data Scientist,Okaya Inc,SAN,"Ramon,"
Senior Data Scientist,Instacart,SAN,"Francisco,"
Lead Data Scientist,Philo,SAN,"Francisco,"
Data Analyst,NinthDecimal,SAN,"Francisco,"
Sr. Data Scientist,"Lumos Labs, Inc.",SAN,"Francisco,"
Senior Data Scientist,Genentech,SOUTH,San
Sr. Data Scientist,"Williams-Sonoma, Inc.",SAN,"Francisco,"
Data Scientist,YapStone,WALNUT,"Creek,"
Data Scientist,Cobalt Robotics,SAN,"Mateo,"
Data Scientist,C3 IoT,REDWOOD,"City,"
Senior Data Scientist,CircleUp,SAN,"Francisco,"
Data Scientist,LeapYear,BERKELEY,CA
Senior Data Scientist,Wonderschool,SAN,"Francisco,"
Data Scientist,Change Healthcare,EMERYVILLE,CA
Data Scientist,Upstart,SAN,"Carlos,"
Data Scientist,Walmart eCommerce,SAN,"Bruno,"
Senior Data Scientist,Cogitativo,BERKELEY,CA
Senior Data Scientist,Xylem,SAN,"Francisco,"
Data Scientist,Coupa Software,SAN,"Mateo,"
Staff Data Scientist,Walmart,SAN,"Bruno,"
Data Scientist,FuelX,SAN,"Mateo,"
Data Scientist,The Mice Groups,OAKLAND,CA
Data Scientist,Crystal Dynamics,REDWOOD,"City,"
Data Scientist,Roblox,SAN,"Mateo,"
Senior Data Scientist,Autodesk,SAN,"Francisco,"
Sr. Data Scientist,24 Hour Fitness,SAN,"Ramon,"
Sr. Data Scientist,UserTesting,SAN,"Francisco,"
Data Scientist,Feedzai,SAN,"Mateo,"
Data Scientist,Cox Enterprises,REDWOOD,"City,"
Data Scientist,Profusa,SOUTH,San
Senior Data Scientist,Amazon.com,SAN,"Francisco,"
Research Scientist,Lab126,SUNNYVALE,CA
Research Scientist,Oath Inc,SUNNYVALE,CA
Data Engineer,Lab126,SUNNYVALE,CA
Machine Learning Engineer,Oath Inc,SUNNYVALE,CA
Machine Learning Engineer,"Linc Global, Inc.",SUNNYVALE,CA
Software Development Engineer,Amazon.com,SUNNYVALE,CA
Software Development Engineer,Lab126,SUNNYVALE,CA
Senior Software Engineer,Oath Inc,SUNNYVALE,CA
Senior Data Scientist,Castlight Health,SUNNYVALE,CA
Data Scientist,Proofpoint,SUNNYVALE,CA
Data Scientist,"Linc Global, Inc.",SUNNYVALE,CA
Data Scientist,Oath Inc,SUNNYVALE,CA
Data Scientist,Bosch Group,SUNNYVALE,CA
Principal Data Scientist,Microsoft,SUNNYVALE,CA
Staff Data Scientist,Walmart eCommerce,SUNNYVALE,CA
Research Scientist,Amazon.com,SUNNYVALE,CA
Scientist,Microsoft,SUNNYVALE,CA
Data Engineer,Amazon.com,SUNNYVALE,CA
