City,Median Housing Price YTD,State
TEXARKANA,133283.33333333334,TX
ELIZABETHTOWN,147833.33333333334,KY
WHEELING,102916.66666666667,OH
FLORENCE,125816.66666666667,AL
GRAND JUNCTION,252033.33333333334,CO
CONCORD,249516.66666666666,NH
DOTHAN,133316.66666666666,AL
TRAVERSE CITY,227683.33333333334,MI
DALTON,132833.33333333334,GA
MIDLAND,304916.6666666667,TX
HOMOSASSA SPRINGS,155300.0,FL
VALDOSTA,143200.0,GA
SPRINGFIELD,112550.0,OH
VERO BEACH,219300.0,FL
NAPA,666716.6666666666,CA
BATTLE CREEK,109966.66666666667,MI
JAMESTOWN,82466.66666666667,NY
EUREKA,304766.6666666667,CA
FLAGSTAFF,,AZ
LA CROSSE,193683.33333333334,WI
LEBANON,167983.33333333334,PA
IDAHO FALLS,212000.0,ID
SIERRA VISTA,161166.66666666666,AZ
PITTSFIELD,197716.66666666666,MA
JACKSON,123316.66666666667,TN
GLENS FALLS,163266.66666666666,NY
WINCHESTER,237616.66666666666,VA
ALTOONA,101316.66666666667,PA
LONDON,127066.66666666667,KY
LOGAN,256900.0,ID
MANSFIELD,119366.66666666667,OH
WEIRTON,88450.0,OH
HAMMOND,160316.66666666666,LA
STAUNTON,184850.0,VA
MOUNT VERNON,346416.6666666667,WA
ALBANY,252400.0,OR
WATERTOWN,142350.0,NY
CLEVELAND,158333.33333333334,TN
SHEBOYGAN,161866.66666666666,WI
BISMARCK,254033.33333333334,ND
DUNN,179100.0,NC
WOOSTER,141316.66666666666,OH
MORRISTOWN,140650.0,TN
KANKAKEE,142316.66666666666,IL
BRUNSWICK,202883.33333333334,GA
OGDENSBURG,78700.0,NY
MICHIGAN CITY,136633.33333333334,IN
HOLLAND,166900.0,MI
WENATCHEE,307116.6666666667,WA
LAWRENCE,205016.66666666666,KS
MISSOULA,293700.0,MT
BAY CITY,88833.33333333333,MI
ROSEBURG,,OR
SHOW LOW,225266.66666666666,AZ
BLUEFIELD,89400.0,WV
COOKEVILLE,148733.33333333334,TN
CALIFORNIA,266933.3333333333,MD
GADSDEN,110600.0,AL
CUMBERLAND,86116.66666666667,MD
LONGVIEW,256866.66666666666,WA
WHITEWATER,201350.0,WI
FOND DU LAC,137100.0,WI
ITHACA,198416.66666666666,NY
ASHTABULA,,OH
GETTYSBURG,188733.33333333334,PA
TULLAHOMA,146400.0,TN
RICHMOND,160883.33333333334,KY
ADRIAN,139500.0,MI
TWIN FALLS,193183.33333333334,ID
CORNING,,NY
SEBRING,132816.66666666666,FL
TRUCKEE,443183.3333333333,CA
PADUCAH,119183.33333333333,KY
GRAND FORKS,198883.33333333334,ND
SHELBY,117250.0,NC
FAIRBANKS,262950.0,AK
OCEAN CITY,304483.3333333333,NJ
MANKATO,185833.33333333334,MN
ROME,117383.33333333333,GA
HOT SPRINGS,147083.33333333334,AR
GREENWOOD,102600.0,SC
THE VILLAGES,259950.0,FL
